250, Clientes,Prueba 1
TCP-mean,Cliente_6,2.1738197424892705
RMI,Cliente_206,181
TCP-mean,Cliente_206,2.1545064377682404
TCP-stdDev,Cliente_6,3.4008290038083295
Errores-TCP,Cliente_6,0
Errores-RMI,Cliente_6,0
TCP-stdDev,Cliente_206,2.8930169254484905
Errores-TCP,Cliente_206,0
Errores-RMI,Cliente_206,0
RMI,Cliente_194,121
TCP-mean,Cliente_194,2.546236559139785
RMI,Cliente_67,0
TCP-mean,Cliente_67,2.3517191977077365
TCP-stdDev,Cliente_194,3.580089078198902
Errores-TCP,Cliente_194,0
Errores-RMI,Cliente_194,0
TCP-stdDev,Cliente_67,3.120813054593829
Errores-TCP,Cliente_67,0
Errores-RMI,Cliente_67,0
TCP-mean,Cliente_127,2.273638968481375
TCP-stdDev,Cliente_127,3.4824025392805154
Errores-TCP,Cliente_127,0
Errores-RMI,Cliente_127,0
RMI,Cliente_20,1
TCP-mean,Cliente_20,2.27168458781362
TCP-stdDev,Cliente_20,4.252094701267089
Errores-TCP,Cliente_20,0
Errores-RMI,Cliente_20,0
RMI,Cliente_9,1
TCP-mean,Cliente_9,2.3085182534001434
RMI,Cliente_125,1
TCP-mean,Cliente_125,2.35243553008596
TCP-stdDev,Cliente_9,3.4949630012270565
Errores-TCP,Cliente_9,0
TCP-stdDev,Cliente_125,3.5130336239464754
Errores-TCP,Cliente_125,0
Errores-RMI,Cliente_125,0
RMI,Cliente_238,114
RMI,Cliente_167,0
TCP-mean,Cliente_167,2.3951324266284897
TCP-stdDev,Cliente_167,4.479483725341367
Errores-TCP,Cliente_167,0
Errores-RMI,Cliente_167,0
RMI,Cliente_45,0
TCP-mean,Cliente_45,2.4495347172512525
RMI,Cliente_41,149
TCP-mean,Cliente_41,2.2877594846098783
TCP-stdDev,Cliente_41,3.283799051601738
Errores-TCP,Cliente_41,0
Errores-RMI,Cliente_41,0
RMI,Cliente_138,1
TCP-mean,Cliente_138,2.358882521489971
TCP-stdDev,Cliente_138,3.8096920451704266
Errores-TCP,Cliente_138,0
Errores-RMI,Cliente_138,0
RMI,Cliente_54,0
TCP-mean,Cliente_54,2.25411596277738
TCP-stdDev,Cliente_54,2.7393038989033274
Errores-TCP,Cliente_54,0
Errores-RMI,Cliente_54,0
RMI,Cliente_229,196
TCP-mean,Cliente_229,2.2269148174659987
TCP-stdDev,Cliente_229,2.816388789656873
Errores-TCP,Cliente_229,0
Errores-RMI,Cliente_229,0
RMI,Cliente_235,133
TCP-mean,Cliente_235,2.348354792560801
TCP-stdDev,Cliente_235,3.514058340444126
Errores-TCP,Cliente_235,0
Errores-RMI,Cliente_235,0
RMI,Cliente_241,201
TCP-mean,Cliente_241,2.286021505376344
TCP-stdDev,Cliente_241,1.8774033427490975
Errores-TCP,Cliente_241,0
Errores-RMI,Cliente_241,0
RMI,Cliente_101,1
RMI,Cliente_69,0
TCP-mean,Cliente_69,2.3149606299212597
TCP-stdDev,Cliente_69,3.1581344813310626
Errores-TCP,Cliente_69,0
Errores-RMI,Cliente_69,0
RMI,Cliente_237,123
RMI,Cliente_170,121
TCP-mean,Cliente_170,2.012168933428776
TCP-stdDev,Cliente_170,1.8475918525576953
Errores-TCP,Cliente_170,0
Errores-RMI,Cliente_170,0
RMI,Cliente_209,173
TCP-mean,Cliente_209,2.4484240687679084
RMI,Cliente_155,0
TCP-mean,Cliente_155,2.2075876879026484
TCP-stdDev,Cliente_155,4.276569612724009
Errores-TCP,Cliente_155,0
Errores-RMI,Cliente_155,0
RMI,Cliente_234,200
TCP-mean,Cliente_234,2.0428877769835596
TCP-stdDev,Cliente_234,1.6479733331510595
RMI,Cliente_114,0
RMI,Cliente_95,2
TCP-mean,Cliente_114,2.4727403156384504
TCP-stdDev,Cliente_114,4.599565207135074
Errores-TCP,Cliente_114,0
